"License Permit ID","Premises County","Type","Class","Description","LegalName","DBA","Actual Address Of Premises","Additional Address Information","City","State Name","Zip Code","Original Issue Date","Last Issue Date","Effective Date","Expiration Date","Parent License ID","Legacy Serial Number","AKA Address","Georeference"
"0340-22-108617","Richmond","1","0340","Restaurant","SOFIA'S TAQUERIA LLC","SOFIA'S TAQUERIA","977 BAY ST",,"STATEN ISLAND","New York","10305","12/17/2024","12/17/2024","01/01/2025","12/31/2026",,"1313794",,"POINT (-74.06956 40.61874)"
"0240-23-140936","Richmond","1","0240","Restaurant","GIOVES WOOD FIRED PIZZA LTD","PIZZERIA GIOVE","278 NEW DORP LN",,"STATEN ISLAND","New York","10306","08/13/2025","08/13/2025","08/13/2025","07/31/2027",,"1255720",,"POINT (-74.11307 40.57224)"
"0340-22-104670","Richmond","1","0340","Restaurant","INCA GRILL PERUVIAN KITCHEN INC",,"126 LINCOLN AVE",,"STATEN ISLAND","New York","10306","10/30/2024","10/30/2024","11/01/2024","10/31/2026",,"1296936",,"POINT (-74.10824 40.57915)"
"0240-25-102726-01","Richmond","1","0423","Additional Bar","YCY INTERNATIONAL FB3 LLC","Bonchon Hylan Blvd","2211 HYLAN BLVD",,"STATEN ISLAND","New York","10306","02/11/2025","02/11/2025","02/11/2025","01/31/2027","0240-25-102726","6052174",,"POINT (-74.10357 40.57663)"
"0340-22-110761","Richmond","1","0340","Restaurant","FOREST PIZZA RESTAURANT INC","CAFE MILANO","401 403 405 FOREST AVENUE","WALBROOKE & SHANNON AVENUE","STATEN ISLAND","New York","10301","11/01/2024","11/01/2024","12/01/2024","11/30/2026",,"1133295",,"POINT (-74.10283 40.63091)"
"0240-22-101619","Richmond","1","0240","Restaurant","LA TUNA INC",,"68 VAN RIPER ST",,"STATEN ISLAND","New York","10302","10/22/2024","10/22/2024","11/01/2024","10/31/2026",,"1313003",,"POINT (-74.14404 40.62551)"
"0240-22-102083","Richmond","1","0240","Restaurant","GOODY'S SPANISH FOOD & MORE INC","GOODY'S SPANISH FOOD & MORE","201 PORT RICHMOND AVENUE","CASTLETON & HARRISON AVENUES","STATEN ISLAND","New York","10302","12/16/2024","12/16/2024","01/01/2025","12/31/2026",,"1121426",,"POINT (-74.13456 40.63635)"
"0240-23-140182","Richmond","1","0240","Restaurant","C & J GOURMET ENTERPRISES LLC","RONNIE'S SANDWICH SHOPPE","2300 HYLAN BLVD","UNIT 4","STATEN ISLAND","New York","10306","06/23/2025","06/23/2025","07/01/2025","06/30/2027",,"1335065",,"POINT (-74.10531 40.57461)"
"0340-22-102961","Richmond","1","0340","Restaurant","TERMINAL ONE REST CORP","TERMINAL ONE","323 SAND LN","UNITS A & B","STATEN ISLAND","New York","10305","11/26/2024","11/26/2024","12/01/2024","11/30/2026",,"1279120",,"POINT (-74.0679 40.59201)"
"0240-22-100318","Richmond","1","0240","Restaurant","SHAKE SHACK NEW YORK LLC","SHAKE SHACK","2655 RICHMOND AVE","STE P01","STATEN ISLAND","New York","10314","11/01/2024","11/01/2024","11/01/2024","10/31/2026",,"1309226",,"POINT (-74.16708 40.58075)"
"0340-23-129843","Richmond","1","0340","Restaurant","AMERICAN MULTI-CINEMA, INC.","AMC STATEN ISLAND MALL 11","2655 RICHMOND AVE",,"STATEN ISLAND","New York","10314","01/10/2025","01/10/2025","02/01/2025","01/31/2027",,"1313784",,"POINT (-74.16708 40.58075)"
"0340-23-130304","Richmond","1","0340","Restaurant","CHINA CHALET 312 INC",,"4326 AMBOY RD",,"STATEN ISLAND","New York","10312","03/18/2025","03/18/2025","04/01/2025","03/31/2027",,"1333358",,"POINT (-74.15945 40.54555)"
"0340-23-137659","Richmond","1","0340","Restaurant","TARIN FOOD CORP","PEPPER JACK GRILL","310 316 MANOR ROAD",,"STATEN ISLAND","New York","10314","01/06/2025","01/06/2025","02/01/2025","01/31/2027",,"1248901",,"POINT (-74.1236 40.62051)"
"0340-23-138122","Richmond","1","0340","Restaurant","RIVER DOCK CAFÉ INC",,"1 RICHMOND TERRACE",,"STATEN ISLAND","New York","10301","09/30/2025","09/30/2025","10/01/2025","09/30/2027",,"1285570",,"POINT (-74.07521 40.64235)"
"0340-23-136619","Richmond","1","0340","Restaurant","RINCONCITO PAISA INC",,"1976 FOREST AVE",,"STATEN ISLAND","New York","10303","07/28/2025","07/28/2025","08/01/2025","07/31/2027",,"1254723",,"POINT (-74.15506 40.62581)"
"0340-23-131823","Richmond","1","0340","Restaurant","585 FOREST AVENUE RESTAURANT CORP.","BURRITO BAR","585 FOREST AVENUE",,"STATEN ISLAND","New York","10310","05/02/2025","05/02/2025","07/10/2025","04/30/2027",,"1043254",,"POINT (-74.10875 40.63015)"
